
省份	区站号	站名	纬度	经度	气压传感器拔海高度(米)	观测场拔海高度(米)
北京	54398	顺义	4013	11662	29.1	27.9
北京	54399	海淀	3999	11629	47.5	46.3
北京	54406	延庆	4045	11597	488.7	487.5
北京	54416	密云	4038	11686	72.6	71.4
北京	54419	怀柔	4036	11663	76.4	75.2
北京	54421	密云上甸子	 4066	11711	293.6	292.4
北京	54424	平谷	4017	11712	32.3	31.1
北京	54431	通州	3985	11676	21.0	19.8
北京	54433	朝阳	3995	11650	35.6	34.4
北京	54499	昌平	4022	11621	76.9	75.7
北京	54501	斋堂	3997	11569	441.3	440.1
北京	54505	门头沟	3989	11616	86.7	85.5
北京	54511	北京	3981	11647	34.0	32.8
北京	54513	石景山	3994	11621	64.2	63.0
北京	54514	丰台	3987	11625	 	55.0
北京	54594	大兴	3972	11635	38.7	37.5
北京	54596	房山	3977	11619	49.8	48.6
北京	54597	霞云岭	3973	11574	 	408.5
天津	54428	蓟县	4005	11745	33.2	32.0
天津	54523	武清	3943	11706	9.4	8.2
天津	54525	宝坻	3973	 	6.3	5.1
天津	54526	东丽区	3908	11734	3.1	1.9
天津	54527	天津	3908	11705	4.7	3.5
天津	54528	北辰区	3924	11714	4.6	3.4
天津	54529	宁河	 	11785	4.3	3.1
天津	54530	汉沽区	3923	11778	0.7	--0.5
天津	54619	静海	3893	11692	6.7	5.5
天津	54622	津南区	 	11742	2.7	1.5
天津	54623	塘沽	3916	11779	4.5	3.3
天津	54645	大港	3884	11747	3.4	2.2
河北	53392	 	4186	11456	1435.7	1434.5
河北	53397	尚义	4110	11399	1377.7	1376.5
河北	53399	张北	4115	11470	1394.9	1393.7
河北	 53491	怀安	4068	11438	838.9	837.7
河北	53492	阳原	4011	11415	939.6	938.4
河北	53498	宣化	4056	11503	630.7	629.5
河北	53499	万全	4077	11473	757.4	756.2
河北	53593	蔚县	3984	11455	904.6	903.4
河北	53596	顺平	3891	11516	81.9	80.7
河北	53599	涞源	3938	11469	883.8	882.6
河北	53680	灵寿	3832	11435	110.8	109.6
河北	53682	曲阳	3863	11469	106.1	104.9
河北	53688	行唐	3842	11455	101.5	100.3
河北	53689	晋州	3802	11505	43.1	41.9
河北	53690	阜平	3885	11418	283.1	281.9
河北	53691	正定	3815	11456	72.0	70.8
河北	53692	唐县	3870	11498	67.7	66.5
河北	53693	井陉	3804	11414	255.8	254.6
河北	53694	平山	3826	11422	131.6	130.4
河北	53695	新乐	3832	11477	65.6	64.4
河北	53696	定州	3854	11501	43.1	41.9
河北	53697	藁城	3803	11482	54.5	53.3
河北	53699	无极	3823	11491	49.4	48.2
河北	53773	临漳	3630	11460	66.7	66
河北	53781	沙河	3686	11447	68.9	68

河北	53784	赵县	3775	11479	38.9	37.7
河北	53785	柏乡	3751	11470	35.4	34.2
河北	53789	栾城	3789	11464	54.4	53.2
河北	53790	高邑	3764	11461	45.7	44.5
河北	53791	元氏	3781	11450	69.6	68.4
河北	53792	临城	3746	11449	115.2	114.0
河北	53794	隆尧	3739	11478	32.2	31.0
河北	53795	赞皇	3766	11441	159.2	158.0
河北	53796	宁晋	3762	11489	31.8	30.6
河北	53797	内邱	3729	11439	164.8	163.6
河北	53798	邢台	3718	11436	184.2	183.0
河北	53799	巨鹿	3724	11500	27.1	25.9
河北	53883	任县	3715	11468	39.2	38.0
河北	53886	涉县	3657	11367	469.3	468.1
河北	53890	武安	3667	11410	283.0	281.8
河北	53891	南和	3699	11464	47.5	46.3
河北	53892	邯郸	3663	11446	71.2	70.0
河北	53893	曲周	3679	11501	39.1	37.9
河北	53894	峰峰	3640	11421	146.2	 
河北	53895	永年	3675	11446	112.4	111.2
河北	53896	魏县	3633	11495	52.8	51.6
河北	53897	磁县	3640	11434	 	87.4
河北	53899	广平	3648	11496	47.0	45.8
河北	53980	肥乡	3654	11481	51.9	50.7
河北	53996	成安	3645	11465	 	58.4
河北	54301	沽源	4167	11565	1410.8	1409.6
河北	54304	崇礼	4095	11527	1241.0	1239.8
河北	54308	丰宁	4120	11663	736.0	734.8
